timestamp,elapsed_s,http_code,response_time_s,success,curl_exit,error
2026-08-14T09:06:17Z,0,200,0.242347,1,0,""
2026-08-14T09:06:19Z,2,200,0.205448,1,0,""
2026-08-14T09:06:22Z,5,200,0.257792,1,0,""
2026-08-14T09:06:24Z,7,200,0.197179,1,0,""
2026-08-14T09:06:41Z,0,200,0.198324,1,0,""
2026-08-14T09:06:43Z,2,200,0.219400,1,0,""
2026-08-14T09:06:45Z,4,200,0.200150,1,0,""
2026-08-14T09:06:47Z,6,200,0.201128,1,0,""
2026-08-14T09:06:50Z,9,200,0.214472,1,0,""
2026-08-14T09:06:52Z,11,200,0.204818,1,0,""
2026-08-14T09:06:54Z,13,200,0.207637,1,0,""
2026-08-14T09:06:56Z,15,200,0.223641,1,0,""
2026-08-14T09:06:59Z,18,200,0.189536,1,0,""
2026-08-14T09:07:01Z,20,200,0.219027,1,0,""
2026-08-14T09:07:03Z,22,200,0.197648,1,0,""
2026-08-14T09:07:05Z,24,200,0.209671,1,0,""
2026-08-14T09:07:08Z,27,200,0.625206,1,0,""
2026-08-14T09:07:10Z,29,200,0.231785,1,0,""
2026-08-14T09:07:12Z,31,200,0.221906,1,0,""
2026-08-14T09:07:15Z,34,200,0.208629,1,0,""
2026-08-14T09:07:17Z,36,200,0.219792,1,0,""
2026-08-14T09:07:19Z,38,200,0.200833,1,0,""
2026-08-14T09:07:21Z,40,200,0.212563,1,0,""
2026-08-14T09:07:24Z,43,200,0.236500,1,0,""
2026-08-14T09:07:26Z,45,200,0.206472,1,0,""
2026-08-14T09:07:28Z,47,200,0.230194,1,0,""
2026-08-14T09:07:30Z,49,200,0.218761,1,0,""
2026-08-14T09:07:32Z,51,200,0.222586,1,0,""
2026-08-14T09:07:35Z,54,200,0.235509,1,0,""
2026-08-14T09:07:37Z,56,200,0.210944,1,0,""
2026-08-14T09:07:39Z,58,200,0.224061,1,0,""
2026-08-14T09:07:41Z,60,200,0.221834,1,0,""
2026-08-14T09:07:44Z,63,200,0.205941,1,0,""
2026-08-14T09:07:46Z,65,200,0.225308,1,0,""
2026-08-14T09:07:48Z,67,200,0.222185,1,0,""
2026-08-14T09:07:50Z,69,200,0.209865,1,0,""
2026-08-14T09:07:53Z,72,200,0.211158,1,0,""
2026-08-14T09:07:55Z,74,200,0.228641,1,0,""
2026-08-14T09:07:57Z,76,200,0.193622,1,0,""
2026-08-14T09:07:59Z,78,200,0.232882,1,0,""
